x,Sample1,Sample2,Sample3,Sample4
492.625,6.89E-06,0,2.69E-06,1.95E-06
492.7,5.06E-06,3.05E-07,3.90E-06,1.55E-06
492.775,5.14E-06,5.06E-06,2.81E-06,2.67E-06
492.85,8.58E-06,6.99E-06,2.40E-06,3.04E-06
492.925,3.03E-06,4.01E-06,2.39E-06,3.85E-06
493,2.88E-06,5.78E-07,1.52E-06,3.70E-06
493.075,4.06E-06,0,2.03E-07,3.45E-06
493.15,2.28E-06,0,5.38E-07,2.27E-06
493.225,4.65E-06,1.19E-06,1.52E-06,4.16E-06
493.3,5.25E-06,4.14E-06,2.43E-06,4.47E-06
493.375,2.31E-06,2.66E-06,1.60E-06,4.95E-06
493.45,1.06E-06,3.51E-06,1.21E-06,3.45E-06
493.525,0,3.67E-06,2.12E-06,1.77E-06
493.6,2.11E-06,8.10E-07,3.29E-06,1.55E-06
493.675,5.01E-06,0,4.44E-06,2.10E-06
493.75,7.17E-06,0,3.01E-06,2.60E-06
493.825,5.31E-06,4.19E-07,2.70E-06,3.05E-06
493.9,3.31E-06,9.24E-06,2.24E-06,3.90E-06
493.975,6.14E-06,5.99E-06,1.67E-06,4.50E-06
494.05,9.31E-06,4.15E-06,1.72E-06,3.45E-06
494.125,5.53E-06,6.39E-06,2.14E-06,3.42E-06
494.2,5.58E-06,7.07E-06,2.55E-06,2.57E-06
494.275,5.91E-07,6.86E-06,2.38E-06,1.81E-06
494.35,1.05E-06,7.61E-06,3.20E-06,2.63E-06
494.425,4.30E-06,6.67E-06,2.44E-06,1.58E-06
494.5,5.50E-06,1.16E-05,1.59E-06,1.61E-06
494.575,3.49E-06,1.04E-05,1.69E-06,3.06E-06
494.65,5.04E-06,5.09E-06,1.30E-06,3.84E-06
494.725,8.36E-06,5.26E-06,1.18E-06,3.79E-06
494.8,8.99E-07,1.16E-05,1.52E-06,3.13E-06
494.875,0,8.08E-06,2.05E-06,3.07E-06
494.95,0,7.21E-06,4.09E-06,2.50E-06
495.025,0,6.60E-06,2.10E-06,3.65E-06
495.1,0,3.16E-06,1.88E-06,6.11E-06
495.175,0,3.46E-06,2.74E-06,6.67E-06
495.25,1.88E-06,6.18E-06,2.52E-06,4.29E-06
495.325,3.69E-06,6.32E-06,3.69E-06,4.87E-06
495.4,8.48E-06,2.02E-06,2.73E-06,4.23E-06
495.475,2.82E-06,4.82E-06,2.44E-06,3.38E-06
495.55,0,2.13E-06,3.28E-06,2.24E-06
495.625,0,5.79E-08,4.31E-06,2.67E-06
495.7,3.03E-07,6.73E-06,4.12E-06,3.97E-06
495.775,2.41E-06,7.38E-06,4.20E-06,4.90E-06
495.85,8.33E-06,1.88E-06,3.64E-06,4.67E-06
495.925,7.25E-06,1.26E-06,2.32E-06,5.34E-06
496,4.05E-06,5.05E-06,5.09E-06,5.66E-06
496.075,3.46E-06,1.81E-06,5.36E-06,5.69E-06
496.15,2.24E-06,4.86E-08,3.50E-06,4.79E-06
496.225,0,0,3.54E-06,4.71E-06
496.3,0,3.03E-06,3.22E-06,5.12E-06
496.375,2.10E-06,3.91E-06,2.06E-06,5.39E-06
496.45,3.59E-06,6.14E-06,2.44E-06,3.07E-06
496.525,1.19E-06,1.51E-05,1.71E-06,2.67E-06
496.6,1.84E-07,6.11E-06,3.64E-06,4.12E-06
496.675,4.13E-06,1.07E-05,4.52E-06,4.18E-06
496.75,2.45E-06,1.36E-05,3.19E-06,2.84E-06
496.825,3.59E-07,8.53E-06,3.10E-06,1.89E-06
496.9,0,8.52E-06,2.32E-06,3.06E-06
496.975,0,1.45E-05,5.27E-06,4.27E-06
497.05,7.27E-06,2.35E-06,7.24E-06,3.69E-06
497.125,1.63E-05,1.86E-06,7.63E-06,4.08E-06
497.2,9.53E-06,8.99E-06,3.47E-06,4.87E-06
497.275,4.17E-06,6.18E-06,4.71E-06,5.64E-06
497.35,6.09E-06,7.43E-06,7.05E-06,4.18E-06
497.425,4.07E-06,1.09E-05,7.20E-06,3.78E-06
497.5,4.53E-06,7.36E-06,6.32E-06,5.54E-06
497.575,8.40E-06,5.37E-06,6.65E-06,5.94E-06
497.65,1.95E-06,1.52E-06,6.12E-06,3.41E-06
497.725,8.99E-07,8.53E-07,7.00E-06,4.63E-06
497.8,4.17E-06,4.22E-06,6.84E-06,4.30E-06
497.875,1.31E-05,3.10E-06,7.27E-06,4.93E-06
497.95,1.51E-05,3.59E-06,6.44E-06,3.66E-06
498.025,1.06E-05,6.33E-06,4.95E-06,3.57E-06
498.1,7.12E-06,8.03E-06,3.74E-06,6.11E-06
498.175,5.75E-06,6.04E-06,6.27E-06,4.67E-06
